id,region,name,rating,address,phone,food_type,price,parking,hour,img_url_1,img_url_2,img_url_3
10,강남구,일리조,4.7,서울특별시 강남구 압구정로42길 23 1F,02-544-1980,이탈리안,2만원-3만원,유료주차 가능,11:30 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/495395_1625359471496806.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/452729/689765_1640862150181_42062?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/452729/689765_1640862150181_42061?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
11,강남구,신비갈비살,4.7,서울특별시 강남구 강남대로158길 15 1F,02-543-5992,고기 요리,3만원-4만원,주차공간없음,"월-금: 17:00 - 03:00
토: 17:00 - 24:00","https://mp-seoul-image-production-s3.mangoplate.com/651394_1612093981021694.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/424326/541606_1639710665831_25333?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/424326/541606_1639710665831_25336?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
12,강남구,왕스덕,4.7,서울특별시 강남구 도산대로 130 하림타워 B1,02-540-8524,정통 중식 / 일반 중식,3만원-4만원,발렛,"월-금: 11:00 - 22:00
토-일: 11:00 - 21:00","https://mp-seoul-image-production-s3.mangoplate.com/341292/458314_1541131684600_9213?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/626008_1640514996964099.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/626008_1640514998029125.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
13,강남구,BISTROT de YOUNTVILLE,4.6,서울특별시 강남구 선릉로158길 13-7 이안빌딩 1F,02-541-1550,프랑스 음식,4만원 이상,발렛,11:30 - 22:30,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/747755_1490231237192802.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1073/1013171_1639990499196_24487?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1073/1013171_1639990499196_24488?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
14,강남구,와라야키 쿠이신보,4.6,서울특별시 강남구 도산대로15길 6 대화빌딩,02-546-9215,이자카야 / 오뎅 / 꼬치,2만원-3만원,발렛,"월-목: 17:30 - 24:00
금-토: 17:30 - 02:00","https://mp-seoul-image-production-s3.mangoplate.com/832260_1538990876392786.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/479674_1638235483265565.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/479674_1638235485604221.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
15,강남구,가담,4.6,서울특별시 강남구 언주로167길 35 옥산빌딩,02-545-5163,정통 중식 / 일반 중식,만원-2만원,무료주차 가능,"월-금: 11:00 - 22:00
토-일: 10:30 - 21:30","https://mp-seoul-image-production-s3.mangoplate.com/52544_1563335477650385.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/231762/965277_1640951521679?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/231762/965277_1640951529696?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
16,강남구,스시키,4.6,서울특별시 강남구 선릉로107길 3-4 운경빌딩 1F,02-539-2008,회 / 스시,4만원 이상,무료주차 가능,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/844626_1508315202030131.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/9388_1638068266130267.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/9388_1638068266563614.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
17,강남구,농민백암왕순대,4.6,서울특별시 강남구 역삼로3길 20-4,02-501-2772,탕 / 찌개 / 전골,만원-2만원,주차공간없음,"월-금: 11:10 - 21:00
토: 11:10 - 15:30","https://mp-seoul-image-production-s3.mangoplate.com/87430/59_1491141169295_9384?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/469121_1639788941710636.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/469121_1639789007702369.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
18,강남구,가온,4.6,서울특별시 강남구 도산대로 317 호림아트센터 MF,02-545-9845,한정식 / 백반 / 정통 한식,4만원 이상,발렛,17:30 - 23:00,"https://mp-seoul-image-production-s3.mangoplate.com/43178_1614870560047842.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/191654/652152_1639785506130_28105?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/191654/652152_1639785506130_28106?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
19,강남구,슬로우치즈,4.6,서울특별시 강남구 삼성로145길 13,02-517-7172,브런치 / 버거 / 샌드위치,만원-2만원,무료주차 가능,11:30 - 20:00,"https://mp-seoul-image-production-s3.mangoplate.com/355430/810572_1561943926719_106693?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/113339_1637249378918839.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/113339_1637249380022479.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
20,강남구,소이연남마오,4.6,서울특별시 강남구 도산대로53길 30,02-545-5130,태국 음식,만원-2만원,발렛,11:30 - 02:00,"https://mp-seoul-image-production-s3.mangoplate.com/376692/172778_1600417388334_70639?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2097992_1641007862464152.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2055094_1631777440695826.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
21,강남구,스시 시미즈,4.6,서울특별시 강남구 언주로152길 11-3 B1,02-543-0887,회 / 스시,4만원 이상,발렛,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/898026_1610362531874524.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/333897/895649_1640226146700_29206?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/333897/895649_1640226146700_29207?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
22,강남구,와려,4.6,서울특별시 강남구 테헤란로98길 28 2F 2호,02-508-2648,정통 일식 / 일반 일식,4만원 이상,발렛,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/363744/1656652_1614558404284_23131?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/471840_1636096960868092.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/471840_1636096963006908.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
23,강남구,코슌,4.6,서울특별시 강남구 언주로153길 14 2F,0507-1315-8729,이자카야 / 오뎅 / 꼬치,4만원 이상,발렛,17:00 - 24:00,"https://mp-seoul-image-production-s3.mangoplate.com/416836/259007_1606464889110_7215?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/416836/90579_1639473130639_49093?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/416836/90579_1639473130639_49097?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
24,강남구,매덕스피자,4.6,서울특별시 강남구 도산대로15길 11 1F,02-542-2420,기타 양식,만원-2만원,발렛,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/586167_1587364617868110.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/410467/1042666_1640993974687_39249?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/410467/1042666_1640993974687_39250?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
25,강남구,켄,4.6,서울특별시 강남구 언주로152길 15-3 2F,02-511-7809,정통 일식 / 일반 일식,4만원 이상,발렛,18:00 - 23:00,"https://mp-seoul-image-production-s3.mangoplate.com/321594/449685_1573741132806_47806?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/460278_1593996899548701.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/460278_1593996900492510.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
26,강남구,쇼토,4.6,서울특별시 강남구 압구정로18길 14-6 1F,02-512-3625,베이커리,만원 미만,무료주차 가능,12:00 - 21:00,"https://mp-seoul-image-production-s3.mangoplate.com/47875_1596185272603130.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/338150_1638918325030649.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/338150_1638918325702949.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
27,강남구,키겐,4.6,서울특별시 강남구 언주로150길 51 B1,02-542-5565,기타 일식,2만원-3만원,주차공간없음,18:00 - 01:00,"https://mp-seoul-image-production-s3.mangoplate.com/414599/694014_1607141957400_52281?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/414599/12258_1637939379923_18440?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/414599/12258_1637939379924_18441?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
28,강남구,비플레이트 바이 브라운브레드,4.6,서울특별시 강남구 논현로24길 41,070-8658-1236,베이커리,만원 미만,주차공간없음,08:30 - 18:00,"https://mp-seoul-image-production-s3.mangoplate.com/12679/387926_1625569497170_52241?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/598583_1639088223944363.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/598583_1639088291585621.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
29,강남구,야키토리묵,4.6,서울특별시 강남구 강남대로152길 23 B1,070-4134-3433,이자카야 / 오뎅 / 꼬치,3만원-4만원,주차공간없음,17:00 - 01:00,"https://mp-seoul-image-production-s3.mangoplate.com/457812/1656652_1624490011732_31218?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/596640_1639193450060700.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/596640_1639193450345400.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
30,강남구,이도,4.6,서울특별시 강남구 논현로75길 7 1F,02-556-0025,이자카야 / 오뎅 / 꼬치,3만원-4만원,무료주차 가능,18:00 - 01:00,"https://mp-seoul-image-production-s3.mangoplate.com/176606_1625190155002306.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/722502_1640174173948676.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/722502_1640174238280571.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
31,강남구,꼼다비뛰드,4.5,서울특별시 강남구 강남대로110길 62,070-4101-8456,베이커리,만원 미만,주차공간없음,"목: 11:00 - 17:00
토: 11:00 - 17:00","https://mp-seoul-image-production-s3.mangoplate.com/260580/26737_1488115123548_26737_1488114971465_42568?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/722502_1636766622380737.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/722502_1636766628979222.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
32,강남구,톡톡,4.5,서울특별시 강남구 학동로97길 41 리유빌딩 3F,02-542-3030,이탈리안,4만원 이상,발렛,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/12873/965277_1620353764215_35225?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1454700_1639460714338837.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1454700_1639460714915217.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
33,강남구,진미평양냉면,4.5,서울특별시 강남구 학동로 305-3,02-515-3469,국수 / 면 요리,만원-2만원,주차공간없음,11:00 - 21:30,"https://mp-seoul-image-production-s3.mangoplate.com/259480/621990_1625572311365_43437?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/259480/894765_1641311863549?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/259480/894765_1641311866633?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
34,강남구,중앙해장,4.5,서울특별시 강남구 영동대로86길 17 육인빌딩,02-558-7905,탕 / 찌개 / 전골,만원-2만원,무료주차 가능,"월: 10:30 - 00:00
화-토: 00:00 - 24:00
일: 00:00 - 22:00","https://mp-seoul-image-production-s3.mangoplate.com/361632_1494296497357311.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2139542_1640338731632735.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2093117_1639830356127035.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
35,강남구,이치에,4.5,서울특별시 강남구 선릉로155길 23-3 2F,070-4273-4087,이자카야 / 오뎅 / 꼬치,4만원 이상,발렛,18:00 - 24:00,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/27907_1458188159981819.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/673960_1640574101073036.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/673960_1640574101794558.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
36,강남구,콴안다오,4.5,서울특별시 강남구 강남대로156길 28-2 1F,02-512-1651,베트남 음식,만원-2만원,발렛,11:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/324571/40403_1515383998718_13023?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1931084_1640318223946206.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1931084_1640318224895619.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
37,강남구,길목,4.5,서울특별시 강남구 영동대로129길 10,02-518-9710,고기 요리,만원-2만원,주차공간없음,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/567494_1480569707297549.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1047892_1640947537009492.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1047892_1640947537284726.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
38,강남구,봉밀가,4.5,서울특별시 강남구 선릉로 664,02-546-2305,국수 / 면 요리,만원-2만원,무료주차 가능,11:30 - 21:30,"https://mp-seoul-image-production-s3.mangoplate.com/217844/508772_1459072253337_20597?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1104193_1641184282489256.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1104193_1641184284232055.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
39,강남구,갓포아키,4.5,서울특별시 강남구 도산대로45길 8-3 쿠키빌딩,02-540-8669,이자카야 / 오뎅 / 꼬치,3만원-4만원,발렛,18:00 - 01:00,"https://mp-seoul-image-production-s3.mangoplate.com/689979_1539971244122359.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/872186_1635685039100497.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/872186_1635685045928817.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
40,강남구,젠제로,4.5,서울특별시 강남구 선릉로126길 14 예우빌딩,02-543-1261,카페 / 디저트,만원 미만,유료주차 가능,11:30 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/684068_1489886684395825.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/283674/167781_1641220440117_46261?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/283674/1468743_1640780182171_79700?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
41,강남구,부타이,4.5,서울특별시 강남구 테헤란로88길 22 B1,02-544-8422,정통 일식 / 일반 일식,만원-2만원,주차공간없음,11:30 - 21:00,"https://mp-seoul-image-production-s3.mangoplate.com/596640_1587648218071805.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/766789_1640599095566815.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/766789_1640599097397115.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
42,강남구,보트르메종,4.5,서울특별시 강남구 언주로168길 16 청담스퀘어 2F 224호,02-549-3800,프랑스 음식,4만원 이상,무료주차 가능,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/226358/444936_1467469964568_104037?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1991439_1639703323174194.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1991439_1639703323722847.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
43,강남구,칙피스,4.5,서울특별시 강남구 강남대로152길 69,02-6956-6780,세계음식 기타,만원-2만원,"유료주차 가능 2시간 3,000원",11:30 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/2925_1614395622948220.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2139542_1640707575086255.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2139542_1640707575306120.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
